record_id,bucket,path_or_pattern,artifact_type,manuscript_role,access_route,archive_action,external_dependency,status,notes
record1_code_evidence,root_docs,README.md,documentation,repository_entry_point,public_repository_archive,include,no,ready_pending_identifier,root package overview
record1_code_evidence,root_docs,LICENSE,software_licence,code_licence,public_repository_archive,include,no,ready_pending_identifier,Apache-2.0 licence for licensable code and scripts only
record1_code_evidence,root_docs,MANIFEST.md,documentation,human_readable_inventory,public_repository_archive,include,no,ready_pending_identifier,tracked package inventory
record1_code_evidence,root_docs,DATA_AVAILABILITY.md,documentation,data_availability_entry,public_repository_archive,include,no,ready_pending_identifier,full data route entry
record1_code_evidence,root_docs,REPRODUCIBILITY.md,documentation,reproducibility_commands,public_repository_archive,include,no,ready_pending_identifier,reviewer command entry
record1_code_evidence,source_code,paper10_geojepa_mpc/**/*.py,software,main_implementation,public_repository_archive,include,no,ready_pending_identifier,Paper10 source code
record1_code_evidence,source_code,arcgis_toolbox_paper9/private_source/,software,compatibility_environment_code,public_repository_archive,include,no,ready_pending_identifier,Paper9 compatibility code included in package
record1_code_evidence,source_code,county_env.py,software,environment_implementation,public_repository_archive,include,no,ready_pending_identifier,CountyLevelEnv compatibility dependency
record1_code_evidence,scripts,scripts/,software,reproduction_and_plotting_commands,public_repository_archive,include,no,ready_pending_identifier,macOS Windows and plotting scripts
record1_code_evidence,notebooks,notebooks/paper10_frontier_random050_50x24_h5_colab.ipynb,notebook,diagnostic_template,public_repository_archive,include,no,ready_pending_identifier,retained as diagnostic template
record1_code_evidence,docs,docs/,documentation,plans_and_continuation_notes,public_repository_archive,include,no,ready_pending_identifier,planning and continuation notes
record1_code_evidence,smoke_data,arcgis_toolbox_paper9/_scratch/tool1_smoke/prepared/tool2/,dataset,reviewer_smoke_verification,public_repository_archive,include,no,ready_pending_identifier,small smoke data only
record1_code_evidence,optional_asset,paper7/data/block_geofm_embeddings.npy,dataset,optional_geofm_tests,public_repository_archive,include_after_rights_check,no,rights_pending,redistribution terms must be confirmed
record1_code_evidence,optional_asset,paper7/data/geofm_metadata.json,metadata,optional_geofm_tests,public_repository_archive,include_after_rights_check,no,rights_pending,metadata for optional GeoFM asset
record1_code_evidence,e0_results,paper10_geojepa_mpc/experiments/results/*.json,result_data,rollout_monitor_training_evidence,public_repository_archive,include,no,ready_pending_identifier,tracked JSON result evidence
record1_code_evidence,e0_results,paper10_geojepa_mpc/experiments/results/*.md,documentation,manuscript_and_audit_notes,public_repository_archive,include,no,ready_pending_identifier,tracked manuscript audit and planning notes
record1_code_evidence,e0_results,paper10_geojepa_mpc/experiments/results/*.csv,source_data,figure_and_archive_source_data,public_repository_archive,include,no,ready_pending_identifier,figure CSVs and archive manifest
record1_code_evidence,e0_results,paper10_geojepa_mpc/experiments/results/*.npz,value_label_data,packaged_value_labels,public_repository_archive,include,no,ready_pending_identifier,packaged E0 label arrays
record1_code_evidence,e0_logs,paper10_geojepa_mpc/experiments/results/*.log,run_log,training_and_rollout_logs,public_repository_archive,include,no,ready_pending_identifier,tracked run logs
record1_code_evidence,checkpoints,paper10_geojepa_mpc/experiments/checkpoints/,model_checkpoint,packaged_rollout_reproduction,public_repository_archive,include,no,ready_pending_identifier,saved rank and value-head checkpoints
record1_code_evidence,references,references/paper10_verified_references_2026-06-09.bib,bibliography,verified_public_citations,public_repository_archive,include,no,ready_pending_identifier,public verified bibliography
record1_code_evidence,references,references/paper10_citation_map_2026-06-09.md,documentation,citation_policy,public_repository_archive,include,no,ready_pending_identifier,claim-to-citation policy
record1_code_evidence,references,references/paper10_paper9_local_source_status_2026-06-09.md,documentation,internal_source_status,public_repository_archive,include,no,ready_pending_identifier,documents local-only Paper9 boundary
record2_full_tool2,full_data,tool2/transitions.npz,dataset,full_training_and_rollout_reruns,public_or_controlled_data_record,externalize,yes,route_unselected,not committed to Git
record2_full_tool2,full_data,tool2/pairwise.npz,dataset,full_training_and_rollout_reruns,public_or_controlled_data_record,externalize,yes,route_unselected,not committed to Git
record3_gpkg_geospatial,full_geospatial_data,dem_slope_analysis/output/DLTB_with_slope.gpkg,geospatial_data,gpkg_root_reproduction_condition,public_or_controlled_data_record,externalize,yes,route_unselected,required for packaged 20x16 reproduction
record3_gpkg_geospatial,full_geospatial_data,results_real/blocks/,geospatial_data,real_environment_rollouts,public_or_controlled_data_record,externalize,yes,route_unselected,not committed to Git
record3_gpkg_geospatial,full_geospatial_data,townships.json,geospatial_metadata,environment_setup,public_or_controlled_data_record,externalize,yes,route_unselected,not committed to Git
excluded_or_local,generated_outputs,reviewer_outputs/,generated_output,local_previews_and_reruns,not_applicable,exclude_unless_selected,no,excluded_by_default,ignored local outputs
excluded_or_local,cache,__pycache__/,cache,none,not_applicable,exclude,no,excluded,Python cache
excluded_or_local,cache,.pytest_cache/,cache,none,not_applicable,exclude,no,excluded,pytest cache
excluded_or_local,large_external_data,tool2/,dataset,full_data_dependency,public_or_controlled_data_record,exclude_from_git,yes,external_required,full Tool2 handled by Record 2
excluded_or_local,large_external_data,dem_slope_analysis/,geospatial_data,full_data_dependency,public_or_controlled_data_record,exclude_from_git,yes,external_required,full geospatial data handled by Record 3
excluded_or_local,large_external_data,results_real/,geospatial_data,full_data_dependency,public_or_controlled_data_record,exclude_from_git,yes,external_required,full geospatial data handled by Record 3
excluded_or_local,third_party_pdfs,references/*.pdf,third_party_document,reference_check_only,not_applicable,exclude,no,excluded,do not archive third-party PDFs
